id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username	topic_cluster	topic_keywords
822669114237943808	269531		https://twitter.com/realDonaldTrump/status/822669114237943808	47364	1484974560	THANK YOU for another wonderful evening in Washington, D.C. TOGETHER, we will MAKE AMERICA GREAT AGAIN	[]	[]	pic.twitter.com/V3aoj9RUh4	realDonaldTrump	0	Thank you tour promising MAGA
822507434396753921	84593	https://www.facebook.com/DonaldTrump/posts/10158510987625725	https://twitter.com/realDonaldTrump/status/822507434396753921	14773	1484935980	TO ALL AMERICANS  ...	[]	[]		realDonaldTrump	0	Thank you tour promising MAGA
822504142178500608	79732	https://www.facebook.com/DonaldTrump/posts/10158510880180725	https://twitter.com/realDonaldTrump/status/822504142178500608	12615	1484935200	So to all Americans, in every city near and far, small and large, from mountain to mountain... ...	[]	[]		realDonaldTrump	0	Thank you tour promising MAGA
822503558369181697	53997	https://www.facebook.com/DonaldTrump/posts/10158510858055725	https://twitter.com/realDonaldTrump/status/822503558369181697	8110	1484935080	It is time to remember that... ...	[]	[]		realDonaldTrump	1	Job and Business agenda
822502887477673984	148791		https://twitter.com/realDonaldTrump/status/822502887477673984	34093	1484934900	We will follow two simple rules: BUY AMERICAN & HIRE AMERICAN!  #InaugurationDay  #MAGA	['InaugurationDay', 'MAGA']	[]		realDonaldTrump	0	Thank you tour promising MAGA
822502601304526848	160650		https://twitter.com/realDonaldTrump/status/822502601304526848	33548	1484934840	We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams!	[]	[]		realDonaldTrump	1	Job and Business agenda
822502450007515137	136592		https://twitter.com/realDonaldTrump/status/822502450007515137	31336	1484934840	The forgotten men and women of our country will be forgotten no longer. From this moment on, it’s going to be  #AmericaFirst	['AmericaFirst']	[]		realDonaldTrump	1	Job and Business agenda
822502270503972872	205630		https://twitter.com/realDonaldTrump/status/822502270503972872	56918	1484934780	January 20th 2017, will be remembered as the day the people became the rulers of this nation again.	[]	[]		realDonaldTrump	2	News coverages from CNN/NYT/Russian Interference
822502135233384448	168139		https://twitter.com/realDonaldTrump/status/822502135233384448	39345	1484934720	What truly matters is not which party controls our government, but whether our government is controlled by the people.	[]	[]		realDonaldTrump	2	News coverages from CNN/NYT/Russian Interference
822501939267141634	83930		https://twitter.com/realDonaldTrump/status/822501939267141634	16470	1484934660	power from Washington, D.C. and giving it back to you, the American People.  #InaugurationDay	['InaugurationDay']	[]		realDonaldTrump	0	Thank you tour promising MAGA
822501803615014918	101406		https://twitter.com/realDonaldTrump/status/822501803615014918	18116	1484934660	Today we are not merely transferring power from one Administration to another, or from one party to another – but we are transferring...	[]	[]		realDonaldTrump	2	News coverages from CNN/NYT/Russian Interference
822421390125043713	249064		https://twitter.com/realDonaldTrump/status/822421390125043713	63581	1484915460	It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!	[]	[]		realDonaldTrump	2	News coverages from CNN/NYT/Russian Interference
822298747421986828	104091		https://twitter.com/realDonaldTrump/status/822298747421986828	18694	1484886240	Thank you for a wonderful evening in Washington, D.C.  #Inauguration	['Inauguration']	[]	pic.twitter.com/a6xpFQTHj5	realDonaldTrump	2	News coverages from CNN/NYT/Russian Interference
822242449053614081	154571		https://twitter.com/realDonaldTrump/status/822242449053614081	31192	1484872800	Thank you for joining us at the Lincoln Memorial tonight- a very special evening! Together, we are going to MAKE AMERICA GREAT AGAIN!	[]	[]	pic.twitter.com/5d774OCx5o	realDonaldTrump	0	Thank you tour promising MAGA
822177206633955328	60927	https://twitter.com/trumpinaugural/status/822161617425203203	https://twitter.com/realDonaldTrump/status/822177206633955328	11064	1484857260	Join me at 4pm over at the Lincoln Memorial with my family!  #Inauguration2017 ...	['Inauguration2017']	[]		realDonaldTrump	0	Thank you tour promising MAGA
822176438627536897	60086		https://twitter.com/realDonaldTrump/status/822176438627536897	7507	1484857080	Great Concert at 4:00 P.M. today at Lincoln Memorial. Enjoy!	[]	[]		realDonaldTrump	2	News coverages from CNN/NYT/Russian Interference
822175285151928320	51856	https://twitter.com/trumpinaugural/status/822142520473829377	https://twitter.com/realDonaldTrump/status/822175285151928320	7940	1484856780	On my way!  #Inauguration2017 ...	['Inauguration2017']	[]		realDonaldTrump	0	Thank you tour promising MAGA
822066653953458177	147503		https://twitter.com/realDonaldTrump/status/822066653953458177	34932	1484830920	the American people. I have no doubt that we will, together, MAKE AMERICA GREAT AGAIN!	[]	[]		realDonaldTrump	0	Thank you tour promising MAGA
822066132307808256	138712		https://twitter.com/realDonaldTrump/status/822066132307808256	23072	1484830800	Getting ready to leave for Washington, D.C. The journey begins and I will be working and fighting very hard to make it a great journey for..	[]	[]		realDonaldTrump	0	Thank you tour promising MAGA
822064153426857984	115447		https://twitter.com/realDonaldTrump/status/822064153426857984	25091	1484830320	"It wasn't Donald Trump that divided this country, this country has been divided for a long time!"" Stated today by Reverend Franklin Graham."""	[]	[]		realDonaldTrump	1	Job and Business agenda
821930600290521089	75567	https://www.facebook.com/DonaldTrump/posts/10158502102660725:0	https://twitter.com/realDonaldTrump/status/821930600290521089	14693	1484798460	Thank you to our amazing Wounded Warriors for their service. It was an honor to be with them tonight in D.C.  #Heroes  ...	['Heroes']	[]	pic.twitter.com/wFXlWQ0XRr	realDonaldTrump	1	Job and Business agenda
821898525432811520	59758		https://twitter.com/realDonaldTrump/status/821898525432811520	9062	1484790840	Great seeing  @TheLeeGreenwood and Kimberly at this evenings VP dinner!  #GodBlessTheUSA	['GodBlessTheUSA']	['TheLeeGreenwood']	pic.twitter.com/SxVmaWvOFT	realDonaldTrump	0	Thank you tour promising MAGA
821844875268255744	125718		https://twitter.com/realDonaldTrump/status/821844875268255744	19062	1484778060	Looking forward to a speedy recovery for George and Barbara Bush, both hospitalized. Thank you for your wonderful letter!	[]	[]		realDonaldTrump	2	News coverages from CNN/NYT/Russian Interference
